,truth,"('num_occur', 'index', 0)","('num_occur', 'score', 0)","('num_occur', 'index', 1)","('num_occur', 'score', 1)","('num_occur', 'index', 2)","('num_occur', 'score', 2)","('num_occur', 'index', 3)","('num_occur', 'score', 3)","('num_occur', 'index', 4)","('num_occur', 'score', 4)","('percentage_of_terms', 'index', 0)","('percentage_of_terms', 'score', 0)","('percentage_of_terms', 'index', 1)","('percentage_of_terms', 'score', 1)","('percentage_of_terms', 'index', 2)","('percentage_of_terms', 'score', 2)","('percentage_of_terms', 'index', 3)","('percentage_of_terms', 'score', 3)","('percentage_of_terms', 'index', 4)","('percentage_of_terms', 'score', 4)","('td-idf', 'index', 0)","('td-idf', 'score', 0)","('td-idf', 'index', 1)","('td-idf', 'score', 1)","('td-idf', 'index', 2)","('td-idf', 'score', 2)","('td-idf', 'index', 3)","('td-idf', 'score', 3)","('td-idf', 'index', 4)","('td-idf', 'score', 4)","('word_order', 'index', 0)","('word_order', 'score', 0)","('word_order', 'index', 1)","('word_order', 'score', 1)","('word_order', 'index', 2)","('word_order', 'score', 2)","('word_order', 'index', 3)","('word_order', 'score', 3)","('word_order', 'index', 4)","('word_order', 'score', 4)"
0,14,10,44,14,19,26,14,19.0,8.0,0.0,7.0,14,1.0,9,0.75,11,0.75,21.0,0.75,0.0,0.5,10,0.009273118535767011,14,0.003339666355185194,25,0.0029144810645106794,11.0,0.0018598266060513608,0.0,0.0018406183480125888,14,4,0.0,0.0,5.0,0.0,9.0,0.0,10.0,0.0
1,14,10,44,14,19,26,14,19.0,8.0,0.0,7.0,14,1.0,9,0.75,11,0.75,21.0,0.75,0.0,0.5,10,0.009273118535767011,14,0.003339666355185194,25,0.0029144810645106794,11.0,0.0018598266060513608,0.0,0.0018406183480125888,14,4,0.0,0.0,5.0,0.0,9.0,0.0,10.0,0.0
2,14,10,44,14,19,26,14,19.0,8.0,0.0,7.0,14,1.0,9,0.75,11,0.75,21.0,0.75,0.0,0.5,10,0.009273118535767011,14,0.003339666355185194,25,0.0029144810645106794,11.0,0.0018598266060513608,0.0,0.0018406183480125888,14,4,0.0,0.0,5.0,0.0,9.0,0.0,10.0,0.0
0,15,15,20,23,17,14,15,1.0,10.0,2.0,9.0,12,1.0,15,1.0,1,0.75,2.0,0.75,17.0,0.75,15,0.02120674148654315,23,0.014150842702272673,16,0.007756904372617922,17.0,0.004973283832044176,1.0,0.0031396993889167783,15,8,17.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0
1,15,15,20,23,17,14,15,1.0,10.0,2.0,9.0,12,1.0,15,1.0,1,0.75,2.0,0.75,17.0,0.75,15,0.02120674148654315,23,0.014150842702272673,16,0.007756904372617922,17.0,0.004973283832044176,1.0,0.0031396993889167783,15,8,17.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0
2,15,15,20,23,17,14,15,1.0,10.0,2.0,9.0,12,1.0,15,1.0,1,0.75,2.0,0.75,17.0,0.75,15,0.02120674148654315,23,0.014150842702272673,16,0.007756904372617922,17.0,0.004973283832044176,1.0,0.0031396993889167783,15,8,17.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0
0,16,14,1331,19,814,2,475,10.0,409.0,21.0,351.0,7,0.75,16,0.75,2,0.5,3.0,0.5,5.0,0.5,22,0.010381705396785117,7,0.007853193495428786,16,0.005468438404188952,26.0,0.0006242014232158303,25.0,-8.589310977665943e-06,15,7,26.0,6.0,2.0,5.0,16.0,4.0,5.0,2.0
1,16,14,1331,19,814,2,475,10.0,409.0,21.0,351.0,7,0.75,16,0.75,2,0.5,3.0,0.5,5.0,0.5,22,0.010381705396785117,7,0.007853193495428786,16,0.005468438404188952,26.0,0.0006242014232158303,25.0,-8.589310977665943e-06,15,7,26.0,6.0,2.0,5.0,16.0,4.0,5.0,2.0
2,16,14,1331,19,814,2,475,10.0,409.0,21.0,351.0,7,0.75,16,0.75,2,0.5,3.0,0.5,5.0,0.5,22,0.010381705396785117,7,0.007853193495428786,16,0.005468438404188952,26.0,0.0006242014232158303,25.0,-8.589310977665943e-06,15,7,26.0,6.0,2.0,5.0,16.0,4.0,5.0,2.0
0,17,14,1331,19,814,2,475,10.0,409.0,21.0,351.0,17,1.0,2,0.5,5,0.5,9.0,0.5,10.0,0.5,26,-5.16793924266632e-06,25,-8.589310977665943e-06,30,-1.397956898129717e-05,18.0,-1.4794891156484228e-05,0.0,-1.4854772781541875e-05,17,3,22.0,2.0,2.0,0.0,5.0,0.0,9.0,0.0
1,17,14,1331,19,814,2,475,10.0,409.0,21.0,351.0,17,1.0,2,0.5,5,0.5,9.0,0.5,10.0,0.5,26,-5.16793924266632e-06,25,-8.589310977665943e-06,30,-1.397956898129717e-05,18.0,-1.4794891156484228e-05,0.0,-1.4854772781541875e-05,17,3,22.0,2.0,2.0,0.0,5.0,0.0,9.0,0.0
2,17,14,1331,19,814,2,475,10.0,409.0,21.0,351.0,17,1.0,2,0.5,5,0.5,9.0,0.5,10.0,0.5,26,-5.16793924266632e-06,25,-8.589310977665943e-06,30,-1.397956898129717e-05,18.0,-1.4794891156484228e-05,0.0,-1.4854772781541875e-05,17,3,22.0,2.0,2.0,0.0,5.0,0.0,9.0,0.0
0,18,29,7,22,6,14,4,24.0,3.0,18.0,2.0,18,1.0,1,0.5,2,0.5,19.0,0.5,21.0,0.5,22,0.024983184608193352,18,0.02094212155126592,29,0.01649990975799743,28.0,0.0028580706302109363,3.0,0.0018263109897501731,18,4,1.0,0.0,2.0,0.0,19.0,0.0,21.0,0.0
1,18,29,7,22,6,14,4,24.0,3.0,18.0,2.0,18,1.0,1,0.5,2,0.5,19.0,0.5,21.0,0.5,22,0.024983184608193352,18,0.02094212155126592,29,0.01649990975799743,28.0,0.0028580706302109363,3.0,0.0018263109897501731,18,4,1.0,0.0,2.0,0.0,19.0,0.0,21.0,0.0
2,18,29,7,22,6,14,4,24.0,3.0,18.0,2.0,18,1.0,1,0.5,2,0.5,19.0,0.5,21.0,0.5,22,0.024983184608193352,18,0.02094212155126592,29,0.01649990975799743,28.0,0.0028580706302109363,3.0,0.0018263109897501731,18,4,1.0,0.0,2.0,0.0,19.0,0.0,21.0,0.0
0,19,26,258,25,28,19,21,14.0,16.0,30.0,13.0,19,1.0,1,0.75,2,0.75,3.0,0.75,7.0,0.75,19,0.007418216686915459,6,0.005121276639825975,29,0.0034233441557596144,26.0,0.0026121508375969893,25.0,0.0024736417814265528,19,3,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0
1,19,26,258,25,28,19,21,14.0,16.0,30.0,13.0,19,1.0,1,0.75,2,0.75,3.0,0.75,7.0,0.75,19,0.007418216686915459,6,0.005121276639825975,29,0.0034233441557596144,26.0,0.0026121508375969893,25.0,0.0024736417814265528,19,3,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0
2,19,26,258,25,28,19,21,14.0,16.0,30.0,13.0,19,1.0,1,0.75,2,0.75,3.0,0.75,7.0,0.75,19,0.007418216686915459,6,0.005121276639825975,29,0.0034233441557596144,26.0,0.0026121508375969893,25.0,0.0024736417814265528,19,3,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0
0,20,14,1331,19,814,2,475,10.0,409.0,21.0,351.0,20,1.0,0,0.75,1,0.75,2.0,0.75,3.0,0.75,20,0.0009529743594856604,26,-5.16793924266632e-06,25,-8.589310977665943e-06,30.0,-1.397956898129717e-05,18.0,-1.4794891156484228e-05,19,57,14.0,21.0,20.0,20.0,12.0,11.0,10.0,10.0
1,20,14,1331,19,814,2,475,10.0,409.0,21.0,351.0,20,1.0,0,0.75,1,0.75,2.0,0.75,3.0,0.75,20,0.0009529743594856604,26,-5.16793924266632e-06,25,-8.589310977665943e-06,30.0,-1.397956898129717e-05,18.0,-1.4794891156484228e-05,19,57,14.0,21.0,20.0,20.0,12.0,11.0,10.0,10.0
2,20,14,1331,19,814,2,475,10.0,409.0,21.0,351.0,20,1.0,0,0.75,1,0.75,2.0,0.75,3.0,0.75,20,0.0009529743594856604,26,-5.16793924266632e-06,25,-8.589310977665943e-06,30.0,-1.397956898129717e-05,18.0,-1.4794891156484228e-05,19,57,14.0,21.0,20.0,20.0,12.0,11.0,10.0,10.0
0,21,7,151,1,140,23,79,15.0,66.0,29.0,61.0,9,1.0,10,1.0,14,1.0,19.0,1.0,21.0,1.0,25,0.0045581282768224485,0,0.0017062876761507618,26,0.0015671391740700407,18.0,0.0014954802690666923,22.0,0.0012411727106213409,21,16,2.0,7.0,5.0,7.0,10.0,7.0,19.0,7.0
1,21,7,151,1,140,23,79,15.0,66.0,29.0,61.0,9,1.0,10,1.0,14,1.0,19.0,1.0,21.0,1.0,25,0.0045581282768224485,0,0.0017062876761507618,26,0.0015671391740700407,18.0,0.0014954802690666923,22.0,0.0012411727106213409,21,16,2.0,7.0,5.0,7.0,10.0,7.0,19.0,7.0
2,21,7,151,1,140,23,79,15.0,66.0,29.0,61.0,9,1.0,10,1.0,14,1.0,19.0,1.0,21.0,1.0,25,0.0045581282768224485,0,0.0017062876761507618,26,0.0015671391740700407,18.0,0.0014954802690666923,22.0,0.0012411727106213409,21,16,2.0,7.0,5.0,7.0,10.0,7.0,19.0,7.0
